Date,Tstk_Adj,LnTstk_Delta_1wk,FP1wk,LnTstk_Delta_2wk,FP2wk,LnTstk_Delta_1mo,FP1,LnTstk_Delta_2mo,FP2,LnTstk_Delta_3mo,FP3,LnTstk_Delta_4mo,FP4,LnTstk_Delta_5mo,FP5,LnTstk_Delta_6mo,FP6
2007-01-10,1414.84997558594,0.0111,0.0015,0.0177,0.0005,0.0163,-0.0134,-0.0264,-0.0153,0.0265,-0.0098,0.0623,-0.014,0.0688,-0.0334,0.0928,0.0392
2007-01-11,1423.81994628906,0.0018,0,0.0001,-0.0015,0.01,-0.0299,-0.0261,-0.0271,0.0202,-0.0267,0.0542,-0.042,0.0673,-0.0375,0.0865,0.0345
2007-01-12,1430.72998046875,-0.0002,-0.0008,-0.006,-0.0015,0.0018,-0.032,-0.0272,-0.0301,0.0153,-0.0305,0.0481,-0.0466,0.069,-0.0391,0.0817,0.0314
2007-01-13,1430.72998046875,-0.0002,-0.0004,-0.006,-0.0012,0.0094,-0.0343,-0.0311,-0.032,0.0259,-0.0313,0.0567,-0.0477,0.069,-0.0483,0.0798,0.0124
2007-01-14,1430.72998046875,-0.0002,0.0006,-0.006,-0.0001,0.017,-0.0294,-0.0311,-0.0298,0.0281,-0.0286,0.0557,-0.0457,0.069,-0.0451,0.0797,0.015
2007-01-15,1430.72998046875,-0.0055,0.0005,-0.0071,-0.0005,0.0181,-0.0312,-0.0311,-0.0316,0.0288,-0.0298,0.0623,-0.0444,0.0678,-0.0439,0.0776,0.0192
2007-01-16,1431.90002441406,-0.0027,0.0007,-0.0022,-0.0002,0.0164,-0.0318,-0.0211,-0.0314,0.0268,-0.0299,0.0615,-0.044,0.0687,-0.0429,0.0812,0.0193
2007-01-17,1430.61999511719,0.0066,0.0003,0.0053,-0.0008,0.0173,-0.031,-0.0139,-0.0309,0.0369,-0.0275,0.0624,-0.0423,0.0559,-0.0391,0.0698,0.0228
2007-01-18,1426.36999511719,-0.0017,0.0025,0.0136,0.0016,0.0202,-0.0265,0.0061,-0.024,0.0398,-0.0273,0.0669,-0.0348,0.065,-0.0395,0.0728,0.0232
2007-01-19,1430.5,-0.0058,0.0012,0.0124,-0.0004,0.0174,-0.034,0.0028,-0.0324,0.037,-0.0348,0.0634,-0.0414,0.0491,-0.037,0.0699,0.0241
2007-01-20,1430.5,-0.0058,-0.0016,0.0124,-0.006,0.0202,-0.0502,0.0039,-0.0398,0.0346,-0.041,0.0622,-0.0438,0.0491,-0.0338,0.0748,0.0282
2007-01-21,1430.5,-0.0058,-0.0006,0.0124,-0.0058,0.0188,-0.0511,0.0039,-0.0394,0.0343,-0.0428,0.0524,-0.044,0.0491,-0.0347,0.0548,0.0287
2007-01-22,1422.94995117188,-0.0016,-0.0017,0.0168,-0.009,0.0232,-0.0582,0.0092,-0.0379,0.0497,-0.0412,0.0632,-0.0403,0.0512,-0.033,0.0647,0.035
2007-01-23,1427.98999023438,0.0006,-0.0036,0.0139,-0.0114,0.0161,-0.0626,0.0066,-0.0422,0.0454,-0.0458,0.0596,-0.0467,0.0444,-0.0365,0.0376,0.0315
2007-01-24,1440.13000488281,-0.0013,-0.0036,0.0068,-0.0113,0.0077,-0.0669,-0.008,-0.0495,0.0368,-0.0518,0.0512,-0.0546,0.0449,-0.0398,0.013,0.0209
